Language & Literature,"arabic','Beeld','Chinese','indology','Africana','Judaic','Japanese','Narrative Preaching','Cultuurgeschiedenis','Comparative',' Corinthians',' Holy Spirit','Ephesians',' Bible Study ','Missiology','German','Italian','Swedish','philology','tesol','read','interpret','writing','literature','languages','interpreting','language','sanskrit','thai','vietnamese','yolngu','reading','translation','mandarchinese','literatures','speakers','heroism','humanism','shakespeare','renaissance','postcolonial','narratives','identity','streams','scriptwriting','screenwriting','fiction','read','non-fiction','transcreation','subtitle','subtitling','indian','mandar','character','phonetics','background','aesol','translational','transcultural','purposes','local','urdu','jewish','islamic','hispanic','tesol','story','children','hebrew','spanish','french','Translator','irish','Gaeilge', 'logopaedics'"
Education,"childhood','Human Movement','Geschiedenis','think','education','teaching','numeracy','education','discipline','educational','schooling','junior','needs','ratep','views','learn','black','writers','race','years','disable','indigenous','prep','catholic','leading','difficulties','speaking','second','progressive','evaluation','parent','pgce','coordinator','primary','gifted','work','progress','baccalaureate','introduction','entry','contexts','birth','five','expert','inclusive','curriculum','principal','preparation','accelerated','tertiary','senior','philosophies','student','students','academic',semiotics','intervention','ducier','managing','toddler','guidance','teach','visiting','education','salon','coach','integrationist'"
Science and Health Science,"natural','ecotoxicology','Bioscience','Nanoscience','each','Malting','BEC','ENHET','Reschem','Medical','biological','orthoptic','dietistic','environmental','nanoscience','Physiotheraphy','Linear,'A'Levels','Chemistry', Narrative','M.Pharm.','B.Pharm.(Hons.)','M.Sc.(Hons.)','bionanotechnology','Suivi','seagriculture','health','marine','environment','podiatry','nutrition','molecular','nhet','physician','genetics','dietetics','classification','reproductive','microbiology','immunology','nutritional','biochemistry','plant','zoology','botany','ecology','animal','theoretical','water','forest','sustain','chiropractic','analytical','conservation','wildlife','coastal','equine','veterinary','mine','surveying','biological','conservation','addiction','freshwater','evolution','organismal','hydrology','ocean','biodiversity','team','clean','aquatic','ecosystems','gcp','ich','regional','indigenous','cradle','grave','population','coasts','astronomy','assyriology','catchments','geomorphology','terrestrial','outdoor','atmospheric','developmental','drug','formulation','resonance','geotechnical','meteorolgy','pharmaceutical','chemical','psychiatry','statistical','proteomics','anthropometry','physic','structure','leisure','function','geology','geomatic','chemistry','kinetics','pedorthic','foot','care','ecochemistry','evolutionary','laser','space','soil','sport','experimental','disease','cell','weather','canine','ear','fossil','climate','energy','fuels','deposits','audiometry','physiological','material','plants','oceanography','vision','life','agronomy','neuro','archaeological','biophysics','geological','stata','geospatial','measurement','mental','statics','metabolism','monitoring','fisheries','nautical','antarctic','wilderness','wellbeing','nuclear','rehabilitation','geostatistics','parasitology','outreach','medicine','biology','functional','assessment','autism','spectrum','disorders','psychotherapy','gerontology','audiology','loss','grief','trauma','palliative','developing','strength','service','suicide','suicidology','disaster','refugee','tropical','hygiene','retrieval','bhet','biosecurity','preparedness','communicable','protected','area','minerals','ageing','aged','dietetic','ohs','ergonomics','promoting','spiritual','radiopharmaceutical','midwifery','bioethics','chronic','occupational','lifestyle','entomology','factors','performance','hiv','pharmacotherapy','therapy','biotech','geoinformatics','transport','adaptation','biostatistics','bramind','genetic','disability','ophthalmology','ophthalmic','qualitative','microscopy','microanalysis','statistical modelling','extension maths','health','biochem','optometry','radiation','reconstruction','paediatrics','surgical','gender','professions','dissertation','anatomical','neuropsychology','hydrogeology','surveillance','packaging','emergency','diseases','food','alcohol','drugs','myotherapy','fitness','psychology','bioinformatics','chemical','chemistry','astrophysics','biology','physic','sci','cardiovascular','meteorology','biosciences','bioscience','micropalaeontology','toxicology','tomography','polymer','microtechnology','nanostructures','chemist','stomatology','summer','logopedia'"
Creative Arts & Design & Music,"design','3D ','kino','reflective','Restructuring ','Batik','Classical','Landscaping','wool classing','Serigraphy','Weaving','Product,'Mets','Percussion','strings','tonmeister','woodwinds','organ','consort','opera','brass','piano','aural','harp','guitar','ensemble','orchestra','accordion','Konst','creative','music','designs','fashion','studio','musicianship','musicology','jazz','popular','drama','jewellery','acting','performance','instrumental','vocal','composition','performing','transition','achievers','conducting','accompaniment','aural','opera','musical','animating','direction','generated','imagery','interior','photo','print','audio','player','moving','image','ethnomusicology','textile','merchandise','embroidery','clay','ceramic','branded','illustrative','dance','devices','choreography','cinema','storytelling','printmaking','fine','voice','ensemble','literacy','film','interaction','futures','beauty','playwriting','writings','directing','dramaturgy','producing','mmus','drawing','painting','improvisation','creativity','conservatorium','lighting','perception','materials','interactivation','accessories','decoration','hairdress','styling','art','beauty','cosmetic','hairstyling','perfformio','cyfarwyddo','eyelash','jewelry','manicure','cosmetology','esthetics','arts','Song','Ritual','Songwriting'"
Law,"law','government','bar','tax','victimology','legal','juris','policy','jurisprudence','criminal','justice','criminology','investigation','deviance','prevention','advocacy','commincations','copyright','defamation','rights','intellectual','negotiation','patents','dispute','conveyancing','production','inquiry','intelligence','police','crime','policing','leases','undertaking','contract','pedagogy','ethics','ethical','action','regulation','lba','criminological','regulatory','comparative','juridical','migration','labour','private','corporations','miclaw','parliamentary','rotc','forensic','j.d','commercial','public affairs','diplomacy','arbitration','future'"
Medical and Nursing,"biomedicine','herbal','Physiotherapist','hiv','nhet','Bioscience','denturist','opticianry','Rheumatology','Gastroenterology','Cardiology','Nephrology','Endocrinology','oral','physiotherapy','pathology','biomedical','nursing','medical','surgery','accident','sonography','paramedic','prehospital','pharmacy','dental','physiology','podiatric','preclinical','paramedical','activity','diagnostics','sales','pharmaceuticals','evidence','cognitive','mind','anatomy','orthoptics','dementia','prosthetics','orthotics','phatmaceutical','discovery','paramedicine','dependency','haematology','transfusions','transplantation','cytopathology','histopathology','radiations','osteopathy','osteopathic','kinesiology','epidemiology','biomechanics','prescription','injury','motor','pharmacist','instruction','coordination','dentistry','joint','diagnostic','injuries','radiography','preventive','histology','context','neurobiology','traditional','therapeutic','dermal','therapies','preliminary','musculoskeletal','physiotherapy','specialisations','tissue','sexology','critical','protection','diabetes','cancer','periodontology','acute','initial','registration','overseas','nurses','specialised','embryology','minimally','invasive','anaesthetics','recovery','burns','cardiac','gerontological','pharmaceutics','infection','intensive','attachment','oncology','orthopaedic','perioperative','renal','anaesthetic','apheresis','hyperbaric','sleep','odontology','ultrasound','trials','breast','cataract','refractive','restorative','orthodontics','prescribers','paediatric','periodontics','prosthodontics','otolaryngology','m.ost','immunity','pharmacology','inflammation','neurophysiology','stis','sexual','metabolic','cardiothoracic','colorectal','endocrine','head','neck','neurosurgery','otorhinolaryngology','reconstructive','outcomes','transplant','upper','gastrointestinal','urology','vascular','endovascular','complex','careageing','palliation','nurse','practitioner','medicine','obstetrics','gynaecology','philosophypublic','endodontics','infectious','dentistry','clinical','paraclinical','dentistry','medicine','biological','medicine','clinical','medicine','philosophymedicine','testing','ambulance','medication','histotechnician','women','personal support','clinician','prescribing','spinal','allergy','neonatology','anxiety','CBT','surgeon'"
Mass Communication & Media,"media','Informatica','medialogy','graphic','video','multimedia','tv','broadcast','campaigns','communication','radio','theatre','photography','mass','broadcasting','techniques','stakeholders','reputation','cases','audience','photographic','imaging','effects','motion','capture','photo','journalism','documentary','stop','processing','immersive','intermediate','editing','convergent','elite','printmedia','live','technical','film','theater','Iriseoireacht'"
"Architecture, Building & Planning","planning',' Serigraphy','Truck Driving','Architectural','Typography','Infographics','Museology','manufacturing','Textil','Keramik','quantity','architect','riba','timber','brick','construction','bricklaying','carpentry','plaster','plumbing','creation','urban','building','automotive','architecture','built','airworthiness','acoustics','illumination','facilities','urbanism','surveying','city','prprac','town','merchandising','welding'"
Business & Commerce & Finance & Accounting,"accounting',' Joinery','Fiscale Economie ','imagineering','Fiscale','ibs','open','origini','finanza','essec','mim','lse','cems','organization','NCC','ppe','finance','business','administration','global','arrange','commerce','resource','marketing','supply','financial','services','economics','corporate','sustainability','capital','market','math','spss','economic','proffesional','numer','entrepreneurship','property','banking','analytics','budget','taxation','bank','auditing','control','analysis','basel','statement','modelling','macroeconomic','logistics','advertising','trade','real','statistic','estate','promotion','enterprise','actuarial','strategy','specialist','accountancy','behavioural','econometrics','bus','insurance','margin','r:','regression','reliability','keeping','innovation','vat','macroeconomics','aat','att','cfa','cfq','cisi','cpci','cpi','cppi','cta','fia','icaew','icas','icsa','imc','jieb','investments','money','portfolio','derivatives','foreign','exchange','cima','administrative','events','risk','mba','resource','merger','growing','acquisition','economy','investment','manage','management','organisations','mortgage','conference','manager','commercer','organisation','quality','interdisciplinary','acca','logistic','algebra','strategic','international relation','nonprofit','process','frs','influencing','procurement','strategies','practising','negotiation','negotiating','purchasing','shipping','operations','treasury','investing','asset','actuary','accountant','m.b.a','manufacturing','retailing','commodities','celebrancy','mba','MBA','specific','EnvEuro', 'branding', 'advertisement', 'marxism', 'zommertse'"
Computer Science & Information Technology,"information','Industry 4.0','.NET','Impit','ai','IT','M.Sc.(Tech.)','routing','autodesk','adobe','mining','Thesis','algorithmic','procedural','programming','technology','digital','data','web','i.t.','broadband','security','computational','computer','microprocessors','electronic','intelligent','mechatronic','photonic','games','networking','internet','cybersecurity','entertainment,nanotechnology','network','graphics','interactivity','software','electrical','mobile','computing','application','mainframe','robotics','applications','cloud','infor,''mation','networked','system','game','interface','scientific','remote','sensing','archives','recordkeeping','wireless','internetworking','informatics','records','bioinformatics','website','technical','cad','artificial','myob','integrated','technology','IC Design','integrated'"
